id,policy_id,period_name,standard_category,start_time,end_time,price,unit,is_next_day,remarks,created_at
1,1,尖峰,尖,11:00,12:00,1.1789,元/kWh,0,,2026-07-27 09:25:19
2,1,尖峰,尖,15:00,17:00,1.1789,元/kWh,0,,2026-07-27 09:25:19
3,1,高峰,峰,10:00,11:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
4,1,高峰,峰,14:00,15:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
5,1,高峰,峰,17:00,19:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
6,1,平段,平,08:00,10:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
7,1,平段,平,12:00,14:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
8,1,平段,平,19:00,24:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
9,1,低谷,谷,00:00,08:00,0.335,元/kWh,0,,2026-07-27 09:25:19
10,2,尖峰,尖,11:00,12:00,1.1789,元/kWh,0,,2026-07-27 09:25:19
11,2,尖峰,尖,17:00,18:00,1.1789,元/kWh,0,,2026-07-27 09:25:19
12,2,高峰,峰,10:00,11:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
13,2,高峰,峰,14:00,15:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
14,2,高峰,峰,18:00,19:00,1.0336,元/kWh,0,,2026-07-27 09:25:19
15,2,平段,平,08:00,10:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
16,2,平段,平,12:00,14:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
17,2,平段,平,19:00,24:00,0.6843,元/kWh,0,,2026-07-27 09:25:19
18,2,低谷,谷,00:00,08:00,0.335,元/kWh,0,,2026-07-27 09:25:19
19,3,尖峰,尖,10:00,11:00,1.1854,元/kWh,0,,2026-07-27 09:25:19
20,3,尖峰,尖,14:00,15:00,1.1854,元/kWh,0,,2026-07-27 09:25:19
21,3,高峰,峰,08:00,10:00,1.0208,元/kWh,0,,2026-07-27 09:25:19
22,3,高峰,峰,18:00,21:00,1.0208,元/kWh,0,,2026-07-27 09:25:19
23,3,平段,平,11:00,14:00,0.6965,元/kWh,0,,2026-07-27 09:25:19
24,3,平段,平,15:00,18:00,0.6965,元/kWh,0,,2026-07-27 09:25:19
25,3,平段,平,21:00,24:00,0.6965,元/kWh,0,,2026-07-27 09:25:19
